Borough,avg_fare
N/A,94.48313904068
EWR,87.98697560975609
Queens,49.982966596312096
Staten Island,48.74304985337264
Bronx,30.242775108120764
Brooklyn,26.809409161319415
Unknown,26.44436783328329
Manhattan,14.775341671796376
